Home Team,Away Team,Score 1,Score 2,Score 3,Score 4,Score 5
West Ham United,Wolverhampton Wanderers,0-3,2-3,0-1,1-2,
Arsenal,Bournemouth,3-2,1-2,0-2,3-0,
Brentford,Everton,4-2,1-1,0-0,0-1,
Burnley,Brighton and Hove Albion,0-2,,,,
Liverpool,Fulham,2-2,2-3,2-2,3-1,
Crystal Palace,Newcastle,1-1,2-0,0-4,,
Nottingham Forest,Aston Villa,1-3,1-2,2-1,2-4,
Sunderland,Tottenham Hotspur,1-1,,,,
Chelsea,Manchester City,1-1,1-3,0-2,0-1,
Manchester United,Leeds United,1-1,,,,
Brentford,Fulham,1-3,2-3,1-2,0-0,
Leeds United,Wolverhampton Wanderers,3-1,,,,
Newcastle,Bournemouth,0-0,1-1,2-2,0-2,
Tottenham Hotspur,Brighton and Hove Albion,2-2,4-1,2-3,,
Chelsea,Manchester United,1-2,1-0,1-1,4-3,
Aston Villa,Sunderland,1-1,,,,
Everton,Liverpool,1-2,0-1,2-2,2-0,
Nottingham Forest,Burnley,1-1,2-1,1-1,0-1,
Manchester City,Arsenal,2-0,1-1,1-5,2-2,
Crystal Palace,West Ham United,2-1,2-0,0-2,,
Sunderland,Nottingham Forest,1-0,,,,
Fulham,Aston Villa,1-3,0-1,1-3,1-2,
Bournemouth,Leeds United,2-2,,,,
Liverpool,Crystal Palace,0-3,1-2,1-1,1-0,
West Ham United,Everton,1-1,1-1,0-0,,
Wolverhampton Wanderers,Tottenham Hotspur,1-1,2-4,2-2,,
Arsenal,Newcastle,1-0,0-2,4-1,0-1,
Burnley,Manchester City,1-5,1-3,0-3,,
Brighton and Hove Albion,Chelsea,3-1,0-3,1-2,2-4,
Manchester United,Brentford,1-3,3-4,2-1,1-1,
