Fixture,Score,Date,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Arsenal - Coventry,3-0,2026-08-21,2,0,H,T Bramall,20,4,6,1,10,13,8,2,1,1,0,0
Hull - Man Utd,2-0,2026-08-22,2,0,H,D England,8,21,4,5,10,9,1,6,2,1,0,0
Everton - Palace,2-0,2026-08-22,1,0,H,P Tierney,16,11,5,4,5,15,4,0,0,1,0,0
Ipswich - Sunderland,2-1,2026-08-22,1,1,D,F Hallam,10,11,3,4,12,14,3,5,0,3,0,0
Forest - Leeds,0-1,2026-08-22,0,0,D,R Jones,12,11,2,3,15,14,3,2,2,1,0,0
Brentford - Spurs,3-0,2026-08-22,2,0,H,M Oliver,26,9,8,4,17,14,7,3,1,1,0,0
Brighton - Villa,4-0,2026-08-23,4,0,H,P Bankes,21,6,6,0,12,11,5,2,2,3,0,1
Man City - Bournemouth,2-1,2026-08-23,0,1,A,J Gillett,13,5,6,4,11,11,8,3,1,2,0,0
Newcastle - Liverpool,2-2,2026-08-23,1,0,H,S Attwell,13,27,4,7,16,15,2,6,5,3,0,0
Fulham - Chelsea,2-3,2026-08-24,1,2,A,J Brooks,14,18,6,6,12,7,6,4,2,3,0,0
Palace - Man City,1-4,2026-08-28,0,1,A,A Madley,9,18,1,9,8,11,2,6,1,2,0,0
Liverpool - Forest,2-2,2026-08-29,0,1,A,S Barrott,13,12,4,3,13,10,3,5,4,2,0,0
Bournemouth - Everton,1-1,2026-08-29,1,0,H,C Kavanagh,17,13,5,7,11,14,10,7,3,2,0,0
Coventry - Hull,0-1,2026-08-29,0,0,D,J Smith,11,6,3,2,11,8,6,2,1,4,0,0
Spurs - Newcastle,0-2,2026-08-29,0,0,D,P Bankes,17,11,6,2,15,9,9,7,1,2,0,0
Chelsea - Brighton,4-3,2026-08-30,3,1,H,M Oliver,17,15,6,6,6,12,4,7,1,3,0,0
Leeds - Brentford,1-1,2026-08-30,0,1,A,T Harrington,12,22,2,5,5,13,5,6,0,4,0,0
Sunderland - Fulham,1-0,2026-08-30,0,0,D,M Salisbury,12,11,4,0,10,15,3,4,0,2,0,0
Man Utd - Ipswich,5-2,2026-08-30,1,1,D,C Pawson,33,9,11,5,7,12,8,4,1,3,0,0
Villa - Arsenal,0-1,2026-08-31,0,0,D,J Gillett,7,7,0,2,17,6,2,4,3,1,0,0
Ipswich - Liverpool,0-2,2026-09-04,0,2,A,D England,14,10,5,7,6,13,4,3,1,3,0,0
Newcastle - Bournemouth,2-2,2026-09-05,1,2,A,R Jones,8,17,2,5,19,17,4,3,2,3,0,0
Brentford - Sunderland,1-1,2026-09-05,0,0,D,T Bramall,12,14,2,5,19,9,4,3,3,2,0,0
Brighton - Leeds,1-1,2026-09-05,0,1,A,S Attwell,20,10,5,5,13,16,7,6,3,3,0,0
Fulham - Palace,2-3,2026-09-05,2,1,H,S Barrott,25,10,6,5,6,7,7,1,0,0,0,0
Man City - Coventry,1-0,2026-09-05,1,0,H,P Tierney,15,12,4,3,7,17,4,5,1,2,0,0
Forest - Spurs,0-0,2026-09-05,0,0,D,C Pawson,12,11,2,0,22,14,2,10,2,2,0,0
Hull - Villa,0-0,2026-09-05,0,0,D,M Oliver,11,13,4,1,10,5,3,4,2,0,0,0
Everton - Man Utd,2-2,2026-09-06,0,0,D,J Brooks,18,14,6,3,7,11,4,3,3,3,0,0
Arsenal - Chelsea,2-1,2026-09-06,1,1,D,C Kavanagh,16,13,9,5,13,16,5,3,2,4,0,0
