Team,Game 5,Game 4,Game 3,Game 2,Game 1
Burnley,L,D,L,L,D
Bournemouth,W,D,D,D,D
Sunderland,L,D,W,L,L
Brighton and Hove Albion,L,W,W,L,W
Arsenal,W,W,D,W,W
Everton,L,L,W,W,L
Chelsea,W,L,L,L,L
Newcastle United,W,L,D,W,L
West Ham United,D,L,W,D,D
Manchester City,D,W,L,D,L
Crystal Palace,W,L,W,D,D
Leeds United,D,L,L,W,D
Manchester United,D,W,W,L,W
Aston Villa,D,L,L,W,L
Nottingham Forest,L,L,D,L,D
Fulham,W,W,L,L,D
Liverpool,L,W,L,D,W
Tottenham Hotspur,L,L,L,D,W
Brentford,L,W,D,D,D
Wolverhampton Wanderers,L,W,W,L,D
Queens Park Rangers,L,L,L,L,W
Portsmouth,L,L,D,L,L
Blackpool,L,D,L,L,W
Burton Albion,L,D,L,W,L
Bolton Wanderers,D,W,W,D,D
Stevenage,W,W,L,W,L
Bradford_City,L,W,W,L,D
Plymouth Argyle,L,W,W,D,W
Doncaster Rovers,L,L,D,W,D
Lincoln City,W,W,W,W,D
Exeter City,D,L,L,L,L
Leyton Orient,L,L,W,W,W
Huddersfield Town,W,L,W,D,D
Cardiff City,,,,,
Northampton Town,D,L,L,L,L
Barnsley,L,W,D,D,D
Peterborough United,D,D,P,L,W
Mansfield Town,P,L,W,D,D
Reading,W,W,L,D,W
Wigan Athletic,W,D,L,W,D
Wycombe Wanderers,W,W,L,L,W
Port Vale,P,W,L,D,L
Southampton,W,D,W,W,W
