Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
,Matchday 1,2026-06-11,Mexico City,Mexico,South Africa,,2 - 0
,Matchday 1,2026-06-11,Guadalajara (Zapopan),South Korea,Czech Republic,,2 - 1
,Matchday 8,2026-06-18,Atlanta,Czech Republic,South Africa,,1 - 1
,Matchday 8,2026-06-18,Guadalajara (Zapopan),Mexico,South Korea,,1 - 0
,Matchday 14,2026-06-24,Mexico City,Czech Republic,Mexico,,0 - 3
,Matchday 14,2026-06-24,Monterrey (Guadalupe),South Africa,South Korea,,1 - 0
,Matchday 2,2026-06-12,Toronto,Canada,Bosnia & Herzegovina,,1 - 1
,Matchday 3,2026-06-13,San Francisco Bay Area (Santa Clara),Qatar,Switzerland,,1 - 1
,Matchday 8,2026-06-18,Los Angeles (Inglewood),Switzerland,Bosnia & Herzegovina,,4 - 1
,Matchday 8,2026-06-18,Vancouver,Canada,Qatar,,6 - 0
,Matchday 14,2026-06-24,Vancouver,Switzerland,Canada,,2 - 1
,Matchday 14,2026-06-24,Seattle,Bosnia & Herzegovina,Qatar,,3 - 1
,Matchday 3,2026-06-13,New York/New Jersey (East Rutherford),Brazil,Morocco,,1 - 1
,Matchday 3,2026-06-13,Boston (Foxborough),Haiti,Scotland,,0 - 1
,Matchday 9,2026-06-19,Boston (Foxborough),Scotland,Morocco,,0 - 1
,Matchday 9,2026-06-19,Philadelphia,Brazil,Haiti,,3 - 0
,Matchday 14,2026-06-24,Miami (Miami Gardens),Scotland,Brazil,,0 - 3
,Matchday 14,2026-06-24,Atlanta,Morocco,Haiti,,4 - 2
,Matchday 2,2026-06-12,Los Angeles (Inglewood),USA,Paraguay,,4 - 1
,Matchday 3,2026-06-13,Vancouver,Australia,Turkey,,2 - 0
,Matchday 9,2026-06-19,Seattle,USA,Australia,,2 - 0
,Matchday 9,2026-06-19,San Francisco Bay Area (Santa Clara),Turkey,Paraguay,,0 - 1
,Matchday 15,2026-06-25,Los Angeles (Inglewood),Turkey,USA,,3 - 2
,Matchday 15,2026-06-25,San Francisco Bay Area (Santa Clara),Paraguay,Australia,,0 - 0
,Matchday 4,2026-06-14,Houston,Germany,Curaçao,,7 - 1
,Matchday 4,2026-06-14,Philadelphia,Ivory Coast,Ecuador,,1 - 0
,Matchday 10,2026-06-20,Toronto,Germany,Ivory Coast,,2 - 1
,Matchday 10,2026-06-20,Kansas City,Ecuador,Curaçao,,0 - 0
,Matchday 15,2026-06-25,Philadelphia,Curaçao,Ivory Coast,,0 - 2
,Matchday 15,2026-06-25,New York/New Jersey (East Rutherford),Ecuador,Germany,,2 - 1
,Matchday 4,2026-06-14,Dallas (Arlington),Netherlands,Japan,,2 - 2
